500000,100000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
250000,100000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
1000000,100000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
500000,50000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
500000,200000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
50000,10000,0.000025,0.712,0.015,0.57,1000000,350000,0.15
500000,100000,0.00025,0.712,0.015,0.57,1000000,350000,0.15
500000,100000,0.0000025,0.712,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.5,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.6,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.8,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.9,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.075,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.03,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.0075,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.003,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.3,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.4,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.5,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.7,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.8,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,100000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,500000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,2000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,5000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,10000000,350000,0.15
5000,1000,0.0025,0.712,0.015,0.57,1000000,350000,0.15
500000,100000,0.000025,0.712,0.015,0.57,1000000,350000,0.1
500000,100000,0.000025,0.712,0.015,0.57,1000000,350000,0.2
500000,100000,0.000025,0.712,0.015,0.57,1000000,500000,0.15
500000,100000,0.000025,0.712,0.015,0.57,1000000,650000,0.15
